NUM_PARC;NO_FILIALE;ETABLISSEMENT;SOCIETE;DORM;ETAT_ADMINISTRATIF;ETAT_PHYSIQUE;DATE_MISE_EN_SERVICE;IMMATRICULATION;TYPE;CEINTURE;CLIMATISATION;RAMPE_PMR;PLACES_ASSISES;ETHYLOTEST;CHAMP_LIBRE_1;CHAMP_LIBRE_2;CHAMP_LIBRE_3;MAD;ACTIVITE;NORME_EURO;NO_SERIE;DATE_KILOMETRES;KILOMETRES_COMPTEUR;MARQUE;PROPULSION;NB_PORTES;TOILETTES;LIVREE;COULEUR;PRESENCE_SAEIV;MARQUE_SAEIV;TYPE_SAEIV;PRESENCE_GIROUETTE_AVT;MARQUE_GIROUETTE_AVT;TYPE_GIROUETTE_AVT;PRESENCE_GIROUETTE_LAT;MARQUE_GIROUETTE_LAT;TYPE_GIROUETTE_LAT;PRESENCE_GIROUETTE_ARR;MARQUE_GIROUETTE_ARR;TYPE_GIROUETTE_ARR;NUM_SERIE_MOTEUR;MARQUE_MOTEUR;TYPE_MOTEUR;NUM_SERIE_BOITE;MARQUE_BOITE;TYPE_BOITE;NUM_SERIE_PONT;MARQUE_PONT;TYPE_PONT;PRESENCE_ENREG_VIDEO;NUM_SERIE_ENREG_VIDEO;ID_MARQUE_ENREG_VIDEO;ID_TYPE_ENREG_VIDEO;PRESENCE_CAMERA;NUM_SERIE_CAMERA;ID_MARQUE_CAMERA;ID_TYPE_CAMERA;PRESENCE_BILLETIQUE1;NUM_SERIE_BILLETIQUE1;ID_MARQUE_BILLETIQUE1;ID_TYPE_BILLETIQUE1;PRESENCE_BILLETIQUE2;NUM_SERIE_BILLETIQUE2;ID_MARQUE_BILLETIQUE2;ID_TYPE_BILLETIQUE2;ID_MARQUE_RAMPEPMR;ID_TYPE_RAMPEPMR;NB_VALIDATEUR;CHAUFFAGE;KITCHENETTE;NB_CAMERA_VIDEO;NB_PLACES_PMR
119105;119105;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;08/12/2011;BY-480-TE;CITARO O530;Non;Oui;Automatique;45;Non;;;;Non;Bus et Car;;WEB62808313702685;;;MERCEDES;GAZOLE;0;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
119106;119106;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;08/12/2011;BY-517-TE;CITARO O530;Non;Oui;Automatique;45;Non;;;;Non;Bus et Car;;WEB62808313702686;;;MERCEDES;GAZOLE;0;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
119107;119107;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;08/12/2011;BY-459-TE;CITARO O530;Non;Oui;Automatique;45;Non;;;;Non;Bus et Car;;WEB62808313702687;;;MERCEDES;GAZOLE;0;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
119108;119108;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;08/12/2011;BY-591-TE;CITARO O530;Non;Oui;Automatique;45;Non;;;;Non;Bus et Car;;WEB62808313702691;;;MERCEDES;GAZOLE;0;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
119109;119109;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;08/12/2011;BY-527-TE;CITARO O530;Non;Oui;Automatique;45;Non;;;;Non;Bus et Car;;WEB62808313702692;;;MERCEDES;GAZOLE;0;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
119110;119110;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;08/12/2011;BY-492-TE;CITARO O530;Non;Oui;Automatique;45;Non;;;;Non;Bus et Car;;WEB62808313702710;;;MERCEDES;GAZOLE;0;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
119111;119111;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;08/12/2011;BY-451-TE;CITARO O530;Non;Oui;Automatique;45;Non;;;;Non;Bus et Car;;WEB62808313702647;;;MERCEDES;GAZOLE;0;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
119112;119112;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;08/12/2011;BY-441-TE;CITARO O530;Non;Oui;Automatique;45;Non;;;;Non;Bus et Car;;WEB62808313702648;;;MERCEDES;GAZOLE;0;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
119113;119113;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;08/12/2011;BY-576-TE;CITARO O530;Non;Oui;Automatique;45;Non;;;;Non;Bus et Car;;WEB62808313702649;;;MERCEDES;GAZOLE;0;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
119114;119114;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;08/12/2011;BY-545-TE;CITARO O530;Non;Oui;Automatique;45;Non;;;;Non;Bus et Car;;WEB62808313702650;;;MERCEDES;GAZOLE;0;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
119115;119115;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;08/12/2011;BY-551-TE;CITARO O530;Non;Oui;Automatique;45;Non;;;;Non;Bus et Car;;WEB62808313702651;;;MERCEDES;GAZOLE;0;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
119116;119116;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;08/12/2011;BY-506-TE;CITARO O530;Non;Oui;Automatique;45;Non;;;;Non;Bus et Car;;WEB62808313702653;;;MERCEDES;GAZOLE;0;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
119117;119117;KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;135 KEOLIS PAYS D'AIX;Actif;En exploitation;08/12/2011;BY-498-TE;CITARO O530;Non;Oui;Automatique;45;Non;;;;Non;Bus et Car;;WEB62808313702654;;;MERCEDES;GAZOLE;0;;;;Non;;;Non;;;Non;;;Non;;;;;;;;;;;;Non;;;;Non;;;;Non;;;;Non;;;;;;0;Non;Non;0;0
