Tâche;H;5h;6h;7h;8h;9h;10h;11h;12h;13h;14h;15h;16h;17h;18h;19h;20;21;22h;23h
100/ Ligne : 01-01;15-17;06:15;119105;09:39;16:12;119105;20:22;;;;;;;;;;;;;
101/ Ligne : 01;50;06:30;119106;19:11;;;;;;;;;;;;;;;;
102/ Ligne : 23;63;06:55;119107;22:54;;;;;;;;;;;;;;;;
103/ Ligne : 01;53;07:10;119115;20:20;;;;;;;;;;;;;;;;
105/ Ligne : 02;59;05:45;119112;20:33;;;;;;;;;;;;;;;;
106/ Ligne : 02;57;06:02;119118;20:09;;;;;;;;;;;;;;;;
107/ Ligne : 02;63;06:45;119121;22:32;;;;;;;;;;;;;;;;
108/ Ligne : 02;55;06:56;119124;20:46;;;;;;;;;;;;;;;;
109/ Ligne : 02;53;07:02;119125;20:25;;;;;;;;;;;;;;;;
110/ Ligne : 02;50;07:05;119130;19:41;;;;;;;;;;;;;;;;
111/ Ligne : 02S-06;11-37;06:50;119131;08:57;12:05;119131;21:34;;;;;;;;;;;;;
114/ Ligne : 03;59;05:45;119132;20:34;;;;;;;;;;;;;;;;
115/ Ligne : 03;59;05:45;119137;20:33;;;;;;;;;;;;;;;;
116/ Ligne : 03;61;06:36;119140;22:04;;;;;;;;;;;;;;;;
117/ Ligne : 03;54;07:05;119141;20:47;;;;;;;;;;;;;;;;
118/ Ligne : 03;54;07:07;129138;20:49;;;;;;;;;;;;;;;;
119/ Ligne : 03;59;07:20;129141;22:09;;;;;;;;;;;;;;;;
120/ Ligne : 03S-03S;11-14;06:55;119122;09:04;15:38;119122;19:12;;;;;;;;;;;;;
123/ Ligne : 04;62;05:43;119123;21:27;;;;;;;;;;;;;;;;
124/ Ligne : 04;65;05:47;119133;21:53;;;;;;;;;;;;;;;;
125/ Ligne : 04;57;05:58;119138;20:06;;;;;;;;;;;;;;;;
126/ Ligne : 04;54;06:02;119134;19:36;;;;;;;;;;;;;;;;
127/ Ligne : 04;54;06:13;129139;19:46;;;;;;;;;;;;;;;;
128/ Ligne : 04;59;06:29;119139;21:25;;;;;;;;;;;;;;;;
129/ Ligne : 04;53;07:11;129143;20:17;;;;;;;;;;;;;;;;
130/ Ligne : 05;57;06:12;119128;20:39;;;;;;;;;;;;;;;;
131/ Ligne : 05;57;06:15;129140;20:44;;;;;;;;;;;;;;;;
132/ Ligne : 05;55;06:32;119126;20:17;;;;;;;;;;;;;;;;
133/ Ligne : 05;50;06:48;129145;19:20;;;;;;;;;;;;;;;;
134/ Ligne : 05;53;07:00;129142;20:09;;;;;;;;;;;;;;;;
135/ Ligne : 05;53;07:03;119135;20:06;;;;;;;;;;;;;;;;
136/ Ligne : 05;53;07:10;129144;20:20;;;;;;;;;;;;;;;;
137/ Ligne : 05;62;07:20;119113;22:55;;;;;;;;;;;;;;;;
138/ Ligne : 05;62;07:23;119110;22:54;;;;;;;;;;;;;;;;
139/ Ligne : 05S-10S;09-13;07:10;119116;09:07;15:42;119116;18:54;;;;;;;;;;;;;
142/ Ligne : 06;65;05:50;119129;22:10;;;;;;;;;;;;;;;;
143/ Ligne : 06;63;05:56;129147;21:49;;;;;;;;;;;;;;;;
144/ Ligne : 06-09S;28-13;06:45;119120;13:18;15:50;119120;18:58;;;;;;;;;;;;;
145/ Ligne : 06-08S;23-13;06:52;129146;11:55;15:48;129146;19:01;;;;;;;;;;;;;
148/ Ligne : 07;62;06:17;119117;21:48;;;;;;;;;;;;;;;;
149/ Ligne : 07;61;06:20;119108;21:48;;;;;;;;;;;;;;;;
150/ Ligne : 07;51;06:41;119114;19:28;;;;;;;;;;;;;;;;
151/ Ligne : 07;51;06:59;119119;19:45;;;;;;;;;;;;;;;;
152/ Ligne : 07;49;07:05;119127;19:19;;;;;;;;;;;;;;;;
153/ Ligne : 07;17;16:33;119109;20:54;;;;;;;;;;;;;;;;
154/ Ligne : 08;53;05:45;129148;19:02;;;;;;;;;;;;;;;;
155/ Ligne : 08;59;06:11;119111;20:56;;;;;;;;;;;;;;;;
